Greenhouse gas;Formula;Lifetime;Unit;RE (W m-2 ppb-1);AGWP20 (W m-2 yr kg-1);GWP20;AGWP 100(W m-2 yr kg-1);GWP100;Lifetime(years);mass to ppb factor (ppb/kg) (based on AGWP20);mass to ppb factor (ppb/kg) (based on AGWP100);Best estimate (mass to ppb)
Carbon dioxide;CO2;Infinite;-;0.0000137;2.49E-14;1;9.17E-14;1;;;;
Methane;CH4;12.4;years;0.000363;2.09E-12;84;2.61E-12;28;12.4;5.79899E-10;5.80028E-10;5.79964E-10
Fossil methane;CH4;12.4;years;0.000363;2.11E-12;85;2.73E-12;30;12.4;5.85449E-10;6.06696E-10;5.96072E-10
Nitrous oxide;N2O;121;years;0.003;6.58E-12;264;2.43E-11;265;121;1.1898E-10;1.1903E-10;1.19005E-10
Chlorofluorocarbons;;;;;;;;;;;;
CFC-11;CCl3F;45;years;0.26;1.72E-10;6900;4.28E-10;4660;45;4.097E-11;4.10272E-11;4.09986E-11
CFC-12;CCl2F2;100;years;0.32;2.69E-10;10800;9.39E-10;10200;100;4.63744E-11;4.64211E-11;4.63978E-11
CFC-13;CClF3;640;years;0.25;2.71E-10;10900;1.27E-09;13900;640;5.50513E-11;5.48721E-11;5.49617E-11
CFC-113;CCl2FCClF2;85;years;0.3;1.62E-10;6490;5.34E-10;5820;85;3.03009E-11;3.02778E-11;3.02894E-11
CFC-114;CClF2CClF2;190;years;0.31;1.92E-10;7710;7.88E-10;8590;190;3.26262E-11;3.26927E-11;3.26595E-11
CFC-115;CClF2CF3;1020;years;0.2;1.46E-10;5860;7.03E-10;7670;1020;3.6859E-11;3.69012E-11;3.68801E-11
Hydrochlorofluorocarbons;;;;;;;;;;;;
HCFC-21;CHCl2F;1.7;years;0.15;1.35E-11;543;1.35E-11;148;1.7;5.29416E-11;5.29412E-11;5.29414E-11
HCFC-22;CHClF2;11.9;years;0.21;1.32E-10;5280;1.62E-10;1760;11.9;6.49107E-11;6.48405E-11;6.48756E-11
HCFC-122;CHCl2CF2Cl;1;years;0.17;5.43E-12;218;5.43E-12;59;1;3.19412E-11;3.19412E-11;3.19412E-11
HCFC-122a;CHFClCFCl2;3.4;years;0.21;2.36E-11;945;2.37E-11;258;3.4;3.31456E-11;3.31933E-11;3.31695E-11
HCFC-123;CHCl2CF3;1.3;years;0.15;7.28E-12;292;7.28E-12;79;1.3;3.73333E-11;3.73333E-11;3.73333E-11
HCFC-123a;CHClFCF2Cl;4;years;0.23;3.37E-11;1350;3.39E-11;370;4;3.68789E-11;3.68478E-11;3.68634E-11
HCFC-124;CHClFCF3;5.9;years;0.2;4.67E-11;1870;4.83E-11;527;5.9;4.09571E-11;4.09322E-11;4.09447E-11
HCFC-132c;CH2FCFCl2;4.3;years;0.17;3.07E-11;1230;3.1E-11;338;4.3;4.24022E-11;4.24077E-11;4.24049E-11
